% Model:              20150806_thermoelastic_damping_3d.mph
% Version:            COMSOL 5.0.0.243
% Date:               Aug 13 2015, 12:33
% Dimension:          1
% Nodes:              1001
% Expressions:        1
% Description:        Point graph
% X                       Height
1627010.6                 2.6649280763874756E-11
1627010.8                 2.6737030799268008E-11
1627011                   2.6825360506720345E-11
1627011.2                 2.6914275647999546E-11
1627011.4                 2.700378206147161E-11
1627011.6                 2.709388566348289E-11
1627011.8                 2.7184592449242315E-11
1627012                   2.7275908494779416E-11
1627012.2                 2.736783995788105E-11
1627012.4                 2.7460393079578965E-11
1627012.6                 2.755357418566979E-11
1627012.8                 2.764738968772037E-11
1627013                   2.774184608518812E-11
1627013.2                 2.783694996648735E-11
1627013.4                 2.7932708010628066E-11
1627013.6                 2.8029126988890757E-11
1627013.8                 2.812621376597129E-11
1627014                   2.822397530228229E-11
1627014.2                 2.8322418655166745E-11
1627014.4                 2.8421550980706727E-11
1627014.6                 2.8521379535572434E-11
1627014.8                 2.8621911678325566E-11
1627015                   2.872315487192322E-11
1627015.2                 2.882511668509889E-11
1627015.4                 2.8927804794362615E-11
1627015.6                 2.9031226986046577E-11
1627015.8                 2.913539115778888E-11
1627016                   2.9240305321264435E-11
1627016.2                 2.93459776037564E-11
1627016.4                 2.945241625037279E-11
1627016.6                 2.955962962631415E-11
1627016.8                 2.966762621856285E-11
1627017                   2.9776414638869266E-11
1627017.2                 2.988600362554033E-11
1627017.4                 2.999640204590122E-11
1627017.6                 3.0107618898814746E-11
1627017.8                 3.021966331660503E-11
1627018                   3.033254456833175E-11
1627018.2                 3.044627206182651E-11
1627018.4                 3.0560855346432894E-11
1627018.6                 3.0676304115811396E-11
1627018.8                 3.079262821013164E-11
1627019                   3.090983761967177E-11
1627019.2                 3.10279424871389E-11
1627019.4                 3.114695311072558E-11
1627019.6                 3.126687994724004E-11
1627019.8                 3.1387733614606114E-11
1627020                   3.1509524895831136E-11
1627020.2                 3.163226474165225E-11
1627020.4                 3.175596427395399E-11
1627020.6                 3.188063478926965E-11
1627020.8                 3.2006287761634585E-11
1627021                   3.2132934846973303E-11
1627021.2                 3.2260587886120194E-11
1627021.4                 3.238925890865014E-11
1627021.6                 3.251896013680455E-11
1627021.8                 3.264970398875174E-11
1627022                   3.278150308345171E-11
1627022.2                 3.291437024410842E-11
1627022.4                 3.3048318502474104E-11
1627022.6                 3.3183361103262666E-11
1627022.8                 3.331951150787979E-11
1627023                   3.345678339983395E-11
1627023.2                 3.359519068868739E-11
1627023.4                 3.3734747514905135E-11
1627023.6                 3.3875468254829155E-11
1627023.8                 3.401736752495218E-11
1627024                   3.416046018795521E-11
1627024.2                 3.43047613572361E-11
1627024.4                 3.4450286402386906E-11
1627024.6                 3.45970509548153E-11
1627024.8                 3.474507091264923E-11
1627025                   3.489436244749527E-11
1627025.2                 3.504494200963826E-11
1627025.4                 3.519682633424559E-11
1627025.6                 3.535003244773787E-11
1627025.8                 3.5504577673427595E-11
1627026                   3.566047963911006E-11
1627026.2                 3.581775628304433E-11
1627026.4                 3.597642586100147E-11
1627026.6                 3.613650695350542E-11
1627026.8                 3.629801847232834E-11
1627027                   3.646097966904575E-11
1627027.2                 3.662541014193102E-11
1627027.4                 3.679132984398608E-11
1627027.6                 3.6958759091196205E-11
1627027.8                 3.712771857002835E-11
1627028                   3.7298229347107973E-11
1627028.2                 3.747031287718359E-11
1627028.4                 3.764399101230589E-11
1627028.6                 3.7819286011268255E-11
1627028.8                 3.799622054828309E-11
1627029                   3.817481772396766E-11
1627029.2                 3.83551010745673E-11
1627029.4                 3.853709458248129E-11
1627029.6                 3.872082268709516E-11
1627029.8                 3.890631029484512E-11
1627030                   3.909358279173787E-11
1627030.2                 3.9282666054059316E-11
1627030.4                 3.9473586460485924E-11
1627030.6                 3.9666370904556504E-11
1627030.8                 3.9861046806378657E-11
1627031                   4.0057642126953617E-11
1627031.2                 4.0256185380644336E-11
1627031.4                 4.045670564916063E-11
1627031.6                 4.06592325959706E-11
1627031.8                 4.086379647995645E-11
1627032                   4.1070428171872145E-11
1627032.2                 4.1279159168903616E-11
1627032.4                 4.1490021610878016E-11
1627032.6                 4.170304829697877E-11
1627032.8                 4.191827270172522E-11
1627033                   4.213572899396194E-11
1627033.2                 4.235545205391673E-11
1627033.4                 4.257747749206122E-11
1627033.6                 4.280184166857384E-11
1627033.8                 4.30285817121019E-11
1627034                   4.325773554176942E-11
1627034.2                 4.348934188723062E-11
1627034.4                 4.372344031070498E-11
1627034.6                 4.396007122973444E-11
1627034.8                 4.419927593929079E-11
1627035                   4.444109663740053E-11
1627035.2                 4.4685576448807186E-11
1627035.4                 4.493275945082589E-11
1627035.6                 4.5182690700067834E-11
