% Model:              20150819_beam.mph
% Version:            COMSOL 5.0.0.243
% Date:               Aug 26 2015, 11:20
% Dimension:          1
% Nodes:              1001
% Expressions:        1
% Description:        Point graph
% x                       Height
1591519.4                 6.5348638521960536E-9
1591519.6                 6.5442988283706546E-9
1591519.8                 6.553761089436809E-9
1591520                   6.563250753929803E-9
1591520.2                 6.572767941061405E-9
1591520.4                 6.5823127707358325E-9
1591520.6                 6.591885363565948E-9
1591520.8                 6.6014858408337205E-9
1591521                   6.6111143245622156E-9
1591521.2                 6.6207709374762274E-9
1591521.4                 6.630455803018617E-9
1591521.6                 6.640169045366889E-9
1591521.8                 6.649910789393229E-9
1591522                   6.65968116073773E-9
1591522.2                 6.669480285768557E-9
1591522.4                 6.6793082915987166E-9
1591522.6                 6.6891653061030164E-9
1591522.8                 6.699051457877706E-9
1591523                   6.708966876314893E-9
1591523.2                 6.71891169156234E-9
1591523.4                 6.7288860345405985E-9
1591523.6                 6.7388900369604395E-9
1591523.8                 6.7489238312819966E-9
1591524                   6.758987550790528E-9
1591524.2                 6.769081329555741E-9
1591524.4                 6.77920530244938E-9
1591524.6                 6.789359605163082E-9
1591524.8                 6.799544374167085E-9
1591525                   6.809759746787317E-9
1591525.2                 6.820005861164284E-9
1591525.4                 6.830282856271091E-9
1591525.6                 6.840590871931789E-9
1591525.8                 6.850930048779617E-9
1591526                   6.86130052833545E-9
1591526.2                 6.8717024529662644E-9
1591526.4                 6.882135965903641E-9
1591526.6                 6.892601211262524E-9
1591526.8                 6.90309833399912E-9
1591527                   6.913627479990655E-9
1591527.2                 6.924188795993452E-9
1591527.4                 6.934782429661904E-9
1591527.6                 6.9454085295677636E-9
1591527.8                 6.95606724515753E-9
1591528                   6.9667587268337205E-9
1591528.2                 6.977483125912468E-9
1591528.4                 6.9882405946430196E-9
1591528.6                 6.999031286227529E-9
1591528.8                 7.009855354778033E-9
1591529                   7.0207129553991575E-9
1591529.2                 7.031604244145324E-9
1591529.4                 7.042529378040753E-9
1591529.6                 7.053488515099813E-9
1591529.8                 7.064481814283531E-9
1591530                   7.075509435583856E-9
1591530.2                 7.086571539980414E-9
1591530.4                 7.0976682894610716E-9
1591530.6                 7.10879984704283E-9
1591530.8                 7.1199663767279256E-9
1591531                   7.131168043589642E-9
1591531.2                 7.142405013728646E-9
1591531.4                 7.153677454294115E-9
1591531.6                 7.164985533505268E-9
1591531.8                 7.1763294206069335E-9
1591532                   7.187709285957081E-9
1591532.2                 7.199125300982673E-9
1591532.4                 7.21057763820142E-9
1591532.6                 7.222066471243886E-9
1591532.8                 7.233591974808692E-9
1591533                   7.245154324751654E-9
1591533.2                 7.256753698041235E-9
1591533.4                 7.268390272780937E-9
1591533.6                 7.2800642282320386E-9
1591533.8                 7.291775744768383E-9
1591534                   7.303525003967201E-9
1591534.2                 7.3153121885641916E-9
1591534.4                 7.327137482476559E-9
1591534.6                 7.33900107082639E-9
1591534.8                 7.350903139895065E-9
1591535                   7.3628438772158256E-9
1591535.2                 7.374823471528449E-9
1591535.4                 7.386842112802986E-9
1591535.6                 7.398899992263831E-9
1591535.8                 7.410997302343698E-9
1591536                   7.423134236778071E-9
1591536.2                 7.435310990559434E-9
1591536.4                 7.447527759961707E-9
1591536.6                 7.45978474256514E-9
1591536.8                 7.472082137209779E-9
1591537                   7.484420144091866E-9
1591537.2                 7.496798964717653E-9
1591537.4                 7.509218801928634E-9
1591537.6                 7.521679859927128E-9
1591537.8                 7.53418234422942E-9
1591538                   7.546726461764081E-9
1591538.2                 7.559312420825407E-9
1591538.4                 7.571940431099434E-9
1591538.6                 7.584610703690337E-9
1591538.8                 7.597323451073174E-9
1591539                   7.610078887194229E-9
1591539.2                 7.62287722742408E-9
1591539.4                 7.635718688584447E-9
1591539.6                 7.64860348897542E-9
1591539.8                 7.661531848327831E-9
1591540                   7.67450398790572E-9
1591540.2                 7.68752013045899E-9
1591540.4                 7.70058050025115E-9
1591540.6                 7.713685323087472E-9
1591540.8                 7.726834826266898E-9
1591541                   7.740029238686765E-9
1591541.2                 7.753268790795066E-9
1591541.4                 7.76655371461912E-9
1591541.6                 7.77988424379466E-9
1591541.8                 7.793260613517396E-9
1591542                   7.806683060649978E-9
1591542.2                 7.820151823673914E-9
1591542.4                 7.8336671427192E-9
1591542.6                 7.847229259594433E-9
1591542.8                 7.86083841773799E-9
1591543                   7.874494862327302E-9
1591543.2                 7.88819884023052E-9
1591543.4                 7.901950600037135E-9
1591543.6                 7.915750392089072E-9
1591543.8                 7.929598468431601E-9
1591544                   7.943495082925054E-9
1591544.2                 7.957440491196101E-9
1591544.4                 7.97143495066951E-9
1591544.6                 7.985478720600323E-9
1591544.8                 7.999572062024427E-9
1591545                   8.013715237872802E-9
1591545.2                 8.027908512922548E-9
1591545.4                 8.042152153829709E-9
1591545.6                 8.056446429162656E-9
1591545.8                 8.070791609352327E-9
1591546                   8.085187966809134E-9
1591546.2                 8.099635775873666E-9
1591546.4                 8.114135312850784E-9
1591546.6                 8.128686856044147E-9
1591546.8                 8.143290685706204E-9
1591547                   8.157947084157848E-9
1591547.2                 8.17265633573888E-9
1591547.4                 8.187418726843303E-9
1591547.6                 8.2022345459552E-9
1591547.8                 8.217104083598448E-9
1591548                   8.232027632459218E-9
1591548.2                 8.247005487336218E-9
1591548.4                 8.262037945177336E-9
1591548.6                 8.27712530511681E-9
1591548.8                 8.292267868424842E-9
1591549                   8.307465938632919E-9
1591549.2                 8.322719821483988E-9
1591549.4                 8.338029824970422E-9
1591549.6                 8.353396259372704E-9
1591549.8                 8.368819437208742E-9
1591550                   8.384299673362396E-9
1591550.2                 8.399837285033396E-9
1591550.4                 8.415432591776893E-9
1591550.6                 8.431085915543566E-9
1591550.8                 8.446797580628864E-9
1591551                   8.462567913804689E-9
1591551.2                 8.478397244269266E-9
1591551.4                 8.494285903688193E-9
1591551.6                 8.510234226236232E-9
1591551.8                 8.526242548546338E-9
1591552                   8.54231120984484E-9
1591552.2                 8.558440551901104E-9
1591552.4                 8.574630919070337E-9
1591552.6                 8.59088265833703E-9
1591552.8                 8.607196119263991E-9
1591553                   8.623571654130925E-9
1591553.2                 8.64000961788417E-9
1591553.4                 8.656510368181224E-9
1591553.6                 8.673074265435998E-9
1591553.8                 8.689701672767856E-9
1591554                   8.706392956143807E-9
1591554.2                 8.72314848432835E-9
1591554.4                 8.73996862892978E-9
1591554.6                 8.756853764447451E-9
1591554.8                 8.7738042682208E-9
1591555                   8.790820520575378E-9
1591555.2                 8.807902904772773E-9
1591555.4                 8.82505180705899E-9
1591555.6                 8.84226761671362E-9
1591555.8                 8.859550725999035E-9
1591556                   8.876901530310468E-9
1591556.2                 8.894320428126007E-9
1591556.4                 8.911807821057155E-9
1591556.6                 8.929364113900115E-9
1591556.8                 8.946989714585223E-9
1591557                   8.964685034331122E-9
1591557.2                 8.982450487595105E-9
1591557.4                 9.000286492125836E-9
1591557.6                 9.018193469016991E-9
1591557.8                 9.036171842656888E-9
1591558                   9.054222040887108E-9
1591558.2                 9.072344494953129E-9
1591558.4                 9.090539639559439E-9
1591558.6                 9.108807912925624E-9
1591558.8                 9.127149756736349E-9
1591559                   9.145565616304584E-9
1591559.2                 9.164055940522627E-9
1591559.4                 9.182621181919804E-9
1591559.6                 9.201261796721106E-9
1591559.8                 9.219978244797684E-9
1591560                   9.238770989834816E-9
1591560.2                 9.257640499283523E-9
1591560.4                 9.276587244420957E-9
1591560.6                 9.295611700411782E-9
1591560.8                 9.314714346259258E-9
1591561                   9.333895664978292E-9
1591561.2                 9.353156143547628E-9
1591561.4                 9.372496272973153E-9
1591561.6                 9.39191654835229E-9
1591561.8                 9.411417468825668E-9
1591562                   9.430999537755537E-9
1591562.2                 9.450663262678757E-9
1591562.4                 9.470409155373139E-9
1591562.6                 9.490237731925007E-9
1591562.8                 9.510149512681693E-9
1591563                   9.530145022435547E-9
1591563.2                 9.550224790377815E-9
1591563.4                 9.570389350168298E-9
1591563.6                 9.590639240006276E-9
1591563.8                 9.610975002583958E-9
1591564                   9.631397185276411E-9
1591564.2                 9.651906340096451E-9
1591564.4                 9.672503023767887E-9
1591564.6                 9.693187797800009E-9
1591564.8                 9.713961228442194E-9
1591565                   9.734823886879997E-9
1591565.2                 9.755776349191335E-9
1591565.4                 9.776819196423477E-9
1591565.6                 9.797953014671383E-9
1591565.8                 9.819178395033627E-9
1591566                   9.840495933815079E-9
