% Model:              20150819_beam.mph
% Version:            COMSOL 5.0.0.243
% Date:               Aug 26 2015, 11:26
% Dimension:          1
% Nodes:              1001
% Expressions:        1
% Description:        Point graph
% x                       Height
1591500                   359.56739324953963
1591500.2                 359.5668453715956
1591500.4                 359.56629610408135
1591500.6                 359.56574544170326
1591500.8                 359.5651933791425
1591501                   359.56463991105136
1591501.2                 359.56408503205546
1591501.4                 359.5635287367529
1591501.6                 359.5629710197138
1591501.8                 359.56241187548204
1591502                   359.5618512985719
1591502.2                 359.5612892834701
1591502.4                 359.56072582463497
1591502.6                 359.5601609164956
1591502.8                 359.5595945534546
1591503                   359.55902672988356
1591503.2                 359.55845744012555
1591503.4                 359.5578866784948
1591503.6                 359.557314439275
1591503.8                 359.55674071672246
1591504                   359.55616550506153
1591504.2                 359.55558879848735
1591504.4                 359.55501059116483
1591504.6                 359.5544308772275
1591504.8                 359.5538496507809
1591505                   359.55326690589715
1591505.2                 359.5526826366183
1591505.4                 359.5520968369552
1591505.6                 359.5515095008866
1591505.8                 359.5509206223616
1591506                   359.55033019529554
1591506.2                 359.54973821357237
1591506.4                 359.5491446710435
1591506.6                 359.54854956152775
1591506.8                 359.5479528788129
1591507                   359.54735461665183
1591507.2                 359.5467547687652
1591507.4                 359.54615332884015
1591507.6                 359.54555029052943
1591507.8                 359.5449456474546
1591508                   359.5443393932007
1591508.2                 359.54373152131933
1591508.4                 359.54312202532765
1591508.6                 359.5425108987075
1591508.8                 359.54189813490785
1591509                   359.5412837273405
1591509.2                 359.5406676693823
1591509.4                 359.5400499543748
1591509.6                 359.5394305756228
1591509.8                 359.53880952639713
1591510                   359.5381867999302
1591510.2                 359.5375623894184
1591510.4                 359.5369362880214
1591510.6                 359.536308488861
1591510.8                 359.53567898502394
1591511                   359.53504776955697
1591511.2                 359.53441483546993
1591511.4                 359.5337801757342
1591511.6                 359.5331437832826
1591511.8                 359.53250565101104
1591512                   359.5318657717744
1591512.2                 359.5312241383894
1591512.4                 359.53058074363304
1591512.6                 359.5299355802419
1591512.8                 359.529288640915
1591513                   359.5286399183087
1591513.2                 359.52798940503965
1591513.4                 359.52733709368357
1591513.6                 359.52668297677434
1591513.8                 359.526027046807
1591514                   359.52536929623227
1591514.2                 359.52470971745987
1591514.4                 359.5240483028573
1591514.6                 359.5233850447487
1591514.8                 359.5227199354175
1591515                   359.522052967102
1591515.2                 359.52138413199765
1591515.4                 359.5207134222561
1591515.6                 359.5200408299843
1591515.8                 359.51936634724706
1591516                   359.51868996606225
1591516.2                 359.51801167840347
1591516.4                 359.5173314761991
1591516.6                 359.516649351331
1591516.8                 359.51596529563756
1591517                   359.5152793009083
1591517.2                 359.5145913588873
1591517.4                 359.51390146127136
1591517.6                 359.5132095997093
1591517.8                 359.51251576580484
1591518                   359.5118199511112
1591518.2                 359.5111221471343
1591518.4                 359.5104223453312
1591518.6                 359.5097205371094
1591518.8                 359.5090167138293
1591519                   359.5083108667992
1591519.2                 359.5076029872783
1591519.4                 359.50689306647524
1591519.6                 359.5061810955472
1591519.8                 359.5054670656026
1591520                   359.5047509676959
1591520.2                 359.5040327928304
1591520.4                 359.50331253195736
1591520.6                 359.5025901759744
1591520.8                 359.5018657157286
1591521                   359.50113914201137
1591521.2                 359.50041044556076
1591521.4                 359.49967961706096
1591521.6                 359.4989466471406
1591521.8                 359.4982115263758
1591522                   359.4974742452848
1591522.2                 359.4967347943311
1591522.4                 359.49599316392147
1591522.6                 359.4952493444055
1591522.8                 359.49450332607864
1591523                   359.49375509917576
1591523.2                 359.4930046538748
1591523.4                 359.4922519802956
1591523.6                 359.4914970684981
1591523.8                 359.490739908486
1591524                   359.48998049020037
1591524.2                 359.4892188035233
1591524.4                 359.4884548382763
1591524.6                 359.487688584219
1591524.8                 359.48692003105225
1591525                   359.4861491684123
1591525.2                 359.485375985874
1591525.4                 359.4846004729492
1591525.6                 359.48382261908574
1591525.8                 359.48304241367026
1591526                   359.48225984602243
1591526.2                 359.48147490539804
1591526.4                 359.48068758098765
1591526.6                 359.4798978619152
1591526.8                 359.479105737241
1591527                   359.478311195956
1591527.2                 359.4775142269846
1591527.4                 359.4767148191837
1591527.6                 359.4759129613408
1591527.8                 359.47510864217736
1591528                   359.4743018503427
1591528.2                 359.4734925744172
1591528.4                 359.47268080291093
1591528.6                 359.47186652426177
1591528.8                 359.47104972683917
1591529                   359.4702303989376
1591529.2                 359.4694085287798
1591529.4                 359.4685841045153
1591529.6                 359.467757114219
1591529.8                 359.4669275458943
1591530                   359.46609538746685
1591530.2                 359.46526062678754
1591530.4                 359.4644232516314
1591530.6                 359.4635832496957
1591530.8                 359.4627406086034
1591531                   359.4618953158964
1591531.2                 359.46104735903947
1591531.4                 359.4601967254178
1591531.6                 359.4593434023362
1591531.8                 359.45848737702175
1591532                   359.4576286366178
1591532.2                 359.45676716818684
1591532.4                 359.455902958709
1591532.6                 359.45503599508055
1591532.8                 359.45416626411713
1591533                   359.453293752547
1591533.2                 359.45241844701434
1591533.4                 359.45154033407795
1591533.6                 359.45065940020896
1591533.8                 359.4497756317947
1591534                   359.44888901513144
1591534.2                 359.44799953642837
1591534.4                 359.4471071818052
1591534.6                 359.4462119372909
1591534.8                 359.4453137888269
1591535                   359.44441272226004
1591535.2                 359.44350872334616
1591535.4                 359.4426017777483
1591535.6                 359.44169187103455
1591535.8                 359.4407789886824
1591536                   359.43986311607034
1591536.2                 359.4389442384824
1591536.4                 359.43802234110586
1591536.6                 359.43709740902915
1591536.8                 359.4361694272459
1591537                   359.4352383806472
1591537.2                 359.4343042540254
1591537.4                 359.43336703207194
1591537.6                 359.4324266993756
1591537.8                 359.4314832404261
1591538                   359.4305366396063
1591538.2                 359.42958688119637
1591538.4                 359.428633949371
1591538.6                 359.42767782819806
1591538.8                 359.4267185016421
1591539                   359.42575595355635
1591539.2                 359.42479016768675
1591539.4                 359.4238211276695
1591539.6                 359.4228488170294
1591539.8                 359.4218732191832
1591540                   359.42089431743193
1591540.2                 359.4199120949645
1591540.4                 359.4189265348555
1591540.6                 359.4179376200631
1591540.8                 359.41694533343303
1591541                   359.41594965769
1591541.2                 359.41495057544205
1591541.4                 359.4139480691777
1591541.6                 359.4129421212641
