% Model:              20150806_thermoelastic_damping_3d.mph
% Version:            COMSOL 5.0.0.243
% Date:               Aug 10 2015, 15:30
% Dimension:          1
% Nodes:              501
% Expressions:        1
% Description:        Point graph
% X                       Height
48723                     6.480115200581921E-11
48723.4                   6.506161992029078E-11
48723.8                   6.532418965488014E-11
48724.2                   6.55888867467941E-11
48724.6                   6.58557371485341E-11
48725                     6.61247672363409E-11
48725.4                   6.639600381889607E-11
48725.8                   6.666947414621336E-11
48726.2                   6.694520591875045E-11
48726.6                   6.722322729677285E-11
48727                     6.750356690990068E-11
48727.4                   6.778625386694644E-11
48727.8                   6.807131776597455E-11
48728.2                   6.83587887046159E-11
48728.6                   6.864869729067038E-11
48729                     6.894107465292731E-11
48729.4                   6.923595245231624E-11
48729.8                   6.953336289331803E-11
48730.2                   6.983333873567082E-11
48730.6                   7.013591330640742E-11
48731                     7.044112051215118E-11
48731.4                   7.074899485178939E-11
48731.8                   7.105957142945222E-11
48732.2                   7.137288596783407E-11
48732.6                   7.168897482189762E-11
48733                     7.200787499288488E-11
48733.4                   7.232962414276155E-11
48733.8                   7.265426060902056E-11
48734.2                   7.298182341988527E-11
48734.6                   7.331235230995535E-11
48735                     7.364588773621848E-11
48735.4                   7.398247089456135E-11
48735.8                   7.432214373670398E-11
48736.2                   7.466494898760206E-11
48736.6                   7.501093016336362E-11
48737                     7.536013158960221E-11
48737.4                   7.571259842036774E-11
48737.8                   7.606837665757825E-11
48738.2                   7.642751317100099E-11
48738.6                   7.679005571883427E-11
48739                     7.715605296881077E-11
48739.4                   7.752555451997235E-11
48739.8                   7.789861092503927E-11
48740.2                   7.82752737134272E-11
48740.6                   7.865559541496813E-11
48741                     7.903962958425601E-11
48741.4                   7.942743082577724E-11
48741.8                   7.9819054819748E-11
48742.2                   8.021455834871884E-11
48742.6                   8.061399932500781E-11
48743                     8.101743681888413E-11
48743.4                   8.142493108767299E-11
48743.8                   8.183654360570508E-11
48744.2                   8.225233709517704E-11
48744.6                   8.267237555799382E-11
48745                     8.309672430851287E-11
48745.4                   8.352545000737729E-11
48745.8                   8.395862069636061E-11
48746.2                   8.439630583429888E-11
48746.6                   8.483857633419073E-11
48747                     8.528550460138685E-11
48747.4                   8.573716457307104E-11
48747.8                   8.619363175895952E-11
48748.2                   8.66549832833037E-11
48748.6                   8.712129792828908E-11
48749                     8.75926561787542E-11
48749.4                   8.806914026845157E-11
48749.8                   8.855083422778043E-11
48750.2                   8.903782393309062E-11
48750.6                   8.953019715766319E-11
48751                     9.002804362429796E-11
48751.4                   9.053145505975199E-11
48751.8                   9.104052525096426E-11
48752.2                   9.155535010318355E-11
48752.6                   9.207602770012233E-11
48753                     9.260265836607416E-11
48753.4                   9.313534473026576E-11
48753.8                   9.367419179338897E-11
48754.2                   9.421930699644973E-11
48754.6                   9.477080029207836E-11
48755                     9.5328784218252E-11
48755.4                   9.589337397473104E-11
48755.8                   9.646468750216949E-11
48756.2                   9.704284556406209E-11
48756.6                   9.762797183170122E-11
48757                     9.822019297211057E-11
48757.4                   9.881963873929657E-11
48757.8                   9.94264420687987E-11
48758.2                   1.0004073917573411E-10
48758.6                   1.006626696565451E-10
48759                     1.0129237659444082E-10
48759.4                   1.0193000666892333E-10
48759.8                   1.0257571026940681E-10
48760.2                   1.0322964161316889E-10
48760.6                   1.0389195886788858E-10
48761                     1.0456282427879573E-10
48761.4                   1.0524240430088459E-10
48761.8                   1.059308697362388E-10
48762.2                   1.0662839587676352E-10
48762.6                   1.0733516265263916E-10
48763                     1.0805135478656965E-10
48763.4                   1.0877716195435541E-10
48763.8                   1.0951277895189452E-10
48764.2                   1.1025840586898087E-10
48764.6                   1.1101424827029463E-10
48765                     1.117805173837229E-10
48765.4                   1.1255743029664396E-10
48765.8                   1.1334521016035359E-10
48766.2                   1.1414408640310354E-10
48766.6                   1.1495429495225146E-10
48767                     1.1577607846575513E-10
48767.4                   1.1660968657377682E-10
48767.8                   1.174553761306836E-10
48768.2                   1.1831341147804878E-10
48768.6                   1.1918406471929611E-10
48769                     1.2006761600635076E-10
48769.4                   1.2096435383924146E-10
48769.8                   1.2187457537909036E-10
48770.2                   1.2279858677527813E-10
48770.6                   1.2373670350762427E-10
48771                     1.2468925074413016E-10
48771.4                   1.2565656371546992E-10
48771.8                   1.2663898810688174E-10
48772.2                   1.2763688046849795E-10
48772.6                   1.286506086452287E-10
48773                     1.296805522270092E-10
48773.4                   1.307271030209268E-10
48773.8                   1.317906655461866E-10
48774.2                   1.3287165755331026E-10
48774.6                   1.3397051056906485E-10
48775                     1.3508767046831115E-10
48775.4                   1.3622359807475223E-10
48775.8                   1.373787697919785E-10
48776.2                   1.3855367826671539E-10
48776.6                   1.3974883308631234E-10
48777                     1.4096476151221732E-10
48777.4                   1.4220200925207244E-10
48777.8                   1.4346114127247556E-10
48778.2                   1.4474274265504081E-10
48778.6                   1.4604741949859316E-10
48779                     1.4737579987005023E-10
48779.4                   1.4872853480757998E-10
48779.8                   1.5010629937903215E-10
48780.2                   1.515097937993546E-10
48780.6                   1.5293974461099013E-10
48781                     1.5439690593102737E-10
48781.4                   1.5588206077009097E-10
48781.8                   1.5739602242740708E-10
48782.2                   1.589396359673607E-10
48782.6                   1.6051377978328908E-10
48783                     1.62119367254131E-10
48783.4                   1.6375734850102116E-10
48783.8                   1.654287122504609E-10
48784.2                   1.6713448781183177E-10
48784.6                   1.6887574717766766E-10
48785                     1.7065360725516296E-10
48785.4                   1.7246923223923283E-10
48785.8                   1.7432383613718394E-10
48786.2                   1.762186854565687E-10
48786.6                   1.781551020688135E-10
48787                     1.801344662616107E-10
48787.4                   1.8215821999546183E-10
48787.8                   1.842278703798782E-10
48788.2                   1.8634499338687688E-10
48788.6                   1.885112378210454E-10
48789                     1.9072832956643463E-10
48789.4                   1.9299807613385078E-10
48789.8                   1.9532237153292534E-10
48790.2                   1.9770320149650674E-10
48790.6                   2.0014264908760563E-10
48791                     2.0264290072120534E-10
48791.4                   2.052062526380414E-10
48791.8                   2.0783511786959264E-10
48792.2                   2.1053203373844812E-10
48792.6                   2.13299669942799E-10
48793                     2.1614083727787833E-10
48793.4                   2.1905849705456874E-10
48793.8                   2.220557712800369E-10
48794.2                   2.251359536733498E-10
48794.6                   2.2830252159709764E-10
48795                     2.3155914899392342E-10
48795.4                   2.349097204289842E-10
48795.8                   2.3835834634887144E-10
48796.2                   2.4190937968158543E-10
